candidate_id,experience_years,experience_level,domain,skills_list,skills,education,desired_salary_min,desired_salary_max,preferred_locations,open_to_remote,willing_to_relocate
CAND_000001,3,Mid Level,BI,"['business intelligence', 'continuous integration & delivery', 'language and domain adaptation', 'comfortable with fastpaced environment', 'experience with financial software or data', 'tableau', 'analytical & troubleshooting and remediation capabilities', 'power bi', 'excel', 'data visualization']","business intelligence, continuous integration & delivery, language and domain adaptation, comfortable with fastpaced environment, experience with financial software or data, tableau, analytical & troubleshooting and remediation capabilities, power bi, excel, data visualization",Bachelor's in Engineering,96013,133167,"Remote, Boston, MA, Chicago, IL",True,False
CAND_000002,13,Leadership,ML,"['nlp', 'success criteria', 'deep learning', 'thermoset resins', 'microstrategy sdk', 'edm', 'ecdp', 'lighting data', 'tensorflow', 'machine learning', 'cnvrg', 'safari', 'pytorch', 'computer vision']","nlp, success criteria, deep learning, thermoset resins, microstrategy sdk, edm, ecdp, lighting data, tensorflow, machine learning, cnvrg, safari, pytorch, computer vision",Master's in Computer Science,215531,245503,"Chicago, IL, Remote",True,False
CAND_000003,2,Entry Level,DE,"['gcp', 'aws', 'ability to meet deadlines and work under pressure', 'etl', 'prudent judgment', 'hadoop', 'laboratory information management system', 'database schemas', 'field data acquisition programs', 'airflow', 'spark']","gcp, aws, ability to meet deadlines and work under pressure, etl, prudent judgment, hadoop, laboratory information management system, database schemas, field data acquisition programs, airflow, spark",Bachelor's in Data Science,70338,105993,"Seattle, WA",False,False
CAND_000004,1,Entry Level,ML,"['nlp', 'deep learning', 'effective communication skills', 'tableau experience', 'pytorch', 'computer vision', 'fiscal responsibility']","nlp, deep learning, effective communication skills, tableau experience, pytorch, computer vision, fiscal responsibility",Bachelor's in Data Science,72326,106964,"New York, NY, Austin, TX",False,True
CAND_000005,4,Mid Level,DE,"['gcp', 'stream computing', 'etl', 'hadoop', 'data engineering', 'intelligence analysis', 'multimodal models', 'airflow', 'spark', 'data reporting experience']","gcp, stream computing, etl, hadoop, data engineering, intelligence analysis, multimodal models, airflow, spark, data reporting experience",Bachelor's in Engineering,95923,117349,"Boston, MA, Seattle, WA",False,True
CAND_000006,3,Mid Level,BI,"['business intelligence', 'data science certifications', 'eight years related work experience', 'statistical programming language', 'tableau', 'power bi', 'requirement elicitation', 'excel', 'bioanalytical methods', 'new physics', 'data visualization']","business intelligence, data science certifications, eight years related work experience, statistical programming language, tableau, power bi, requirement elicitation, excel, bioanalytical methods, new physics, data visualization",Bachelor's in Engineering,114034,152634,"New York, NY",False,False
CAND_000007,3,Mid Level,ML,"['nlp', 'deep learning', 'peoplesoft', 'autoregressive models', 'tensorflow', 'managed etl tools (fivetran hightouch)', 'cloudbased analytics', 'machine learning', 'mortgage servicing platform', 'quality assurance metrics', 'pytorch', 'computer vision']","nlp, deep learning, peoplesoft, autoregressive models, tensorflow, managed etl tools (fivetran hightouch), cloudbased analytics, machine learning, mortgage servicing platform, quality assurance metrics, pytorch, computer vision",Master's in Computer Science,127546,152602,"Seattle, WA, New York, NY",False,True
CAND_000008,4,Mid Level,Backend,"['microservices', 'data quality checks', 'fluency in foreign language', 'cpg / retailer facing experience', 'apis', 'new product introduction', 'java', 'scala']","microservices, data quality checks, fluency in foreign language, cpg / retailer facing experience, apis, new product introduction, java, scala",Master's in Computer Science,97687,130766,"Seattle, WA",False,False
CAND_000009,0,Internship,BI,"['power bi', 'data model structures', '5+ years experience in strategic analytics']","power bi, data model structures, 5+ years experience in strategic analytics",Bachelor's in Computer Science,44176,75993,"New York, NY, Remote",True,False
CAND_000010,14,Leadership,BI,"['business intelligence', 'credit unions', 'quality standards', 'deployable applications', 'analytic requirements', 'ligand binding', 'tableau', 'power bi', 'tactical planning', 'excel', 'weekend work', 'data visualization', 'data modelling principles']","business intelligence, credit unions, quality standards, deployable applications, analytic requirements, ligand binding, tableau, power bi, tactical planning, excel, weekend work, data visualization, data modelling principles",PhD in Machine Learning,222750,257219,"San Francisco, CA, Remote, Austin, TX",True,False
CAND_000011,8,Senior,DE,"['gcp', 'llm', 'aws', 'visiopharm', 'etl', 'automated analytics', 'hadoop', 'data restructuring', 'data engineering', '5+ years salesforce data analysis and reporting', 'lean sigma', ""parkinson's disease"", 'scientific publications', 'rest services', 'airflow', 'industry regulations', 'spark']","gcp, llm, aws, visiopharm, etl, automated analytics, hadoop, data restructuring, data engineering, 5+ years salesforce data analysis and reporting, lean sigma, parkinson's disease, scientific publications, rest services, airflow, industry regulations, spark",Master's in Applied Mathematics,148631,177883,"Boston, MA",False,True
CAND_000012,8,Senior,BI,"['business intelligence', 'integrated marketing', 'database management/database software (sql python or similar)', 'germination trials', '.net 3.5 or greater', 'tableau', 'power bi', 'strategy creation and management', 'crp', 'excel', 'data visualization', 'cloud computing (gcp aws azure)']","business intelligence, integrated marketing, database management/database software (sql python or similar), germination trials, .net 3.5 or greater, tableau, power bi, strategy creation and management, crp, excel, data visualization, cloud computing (gcp aws azure)",Master's in Applied Mathematics,174946,204927,"New York, NY, Austin, TX, Chicago, IL",False,True
CAND_000013,0,Internship,ML,"['scientific field', 'deep learning', 'computer vision', 'project documentation']","scientific field, deep learning, computer vision, project documentation",Bachelor's in Computer Science,57662,82792,"Chicago, IL, San Francisco, CA, Remote",True,False
CAND_000014,4,Mid Level,Data,"['data analysis', 'code structure', 'high velocity', 'perception sensors', 'experience with large data sets', 'numpy', 'python', 'statistics']","data analysis, code structure, high velocity, perception sensors, experience with large data sets, numpy, python, statistics",Bachelor's in Engineering,102717,139997,"Chicago, IL",False,True
CAND_000015,2,Entry Level,Data,"['data analysis', 'collaborative mindset', 'pandas', 'sql', 'multiomics research', 'technical communication', 'numpy', 'voluntary benefits', 'python', 'statistics']","data analysis, collaborative mindset, pandas, sql, multiomics research, technical communication, numpy, voluntary benefits, python, statistics",Bachelor's in Computer Science,79264,117363,"Chicago, IL",False,True
CAND_000016,8,Senior,Data,"['data analysis', 'informatica edc', 'biodistribution', 'goalbased search', 'pandas', 'creating recommendations', 'map/reduce', 'sql', 'numpy', 'air force', 'user experiences', 'python', 'statistics']","data analysis, informatica edc, biodistribution, goalbased search, pandas, creating recommendations, map/reduce, sql, numpy, air force, user experiences, python, statistics",Master's in Computer Science,173182,203151,"Seattle, WA, New York, NY, Chicago, IL",False,True
CAND_000017,1,Entry Level,ML,"['datadriven models', 'deep learning', 'machine learning', 'entity relationship diagrams', 'ability to shift gears between ongoing work and ad hoc requests', 'computer vision']","datadriven models, deep learning, machine learning, entity relationship diagrams, ability to shift gears between ongoing work and ad hoc requests, computer vision",Bachelor's in Computer Science,77887,102958,"San Francisco, CA, Seattle, WA, Remote",True,False
CAND_000018,2,Entry Level,BI,"['industry trends', 'tableau', 'power bi', 'excel', 'naval aviation logistics command management information system (nalcomis).']","industry trends, tableau, power bi, excel, naval aviation logistics command management information system (nalcomis).",Bachelor's in Data Science,63246,101941,"Boston, MA, New York, NY, San Francisco, CA",False,False
CAND_000019,2,Entry Level,Data,"['data analysis', 'sql', 'cost reports', 'networking protocols', 'python']","data analysis, sql, cost reports, networking protocols, python",Bachelor's in Data Science,71015,103626,"Austin, TX, New York, NY, San Francisco, CA",False,True
CAND_000020,7,Senior,Data,"['data analysis', 'pinch studies', 'nfts', 'pandas', 'indoor air quality', 'sql', 'glm', 'numpy', 'new relic', 'topline', 'trading experience', 'rdkit', 'python', 'statistics']","data analysis, pinch studies, nfts, pandas, indoor air quality, sql, glm, numpy, new relic, topline, trading experience, rdkit, python, statistics",Master's in Computer Science,149316,183293,"San Francisco, CA, Remote",True,False
CAND_000021,3,Mid Level,DE,"['gcp', 'aws', 'etl', 'microelectronics', 'hadoop', 'critical care', 'data engineering', 'education/tutoring', 'immunological research', 'serial protocols', 'omics analysis', 'airflow', 'spark', 'population scoring']","gcp, aws, etl, microelectronics, hadoop, critical care, data engineering, education/tutoring, immunological research, serial protocols, omics analysis, airflow, spark, population scoring",Master's in Computer Science,124042,156590,"San Francisco, CA, New York, NY, Chicago, IL",False,True
CAND_000022,6,Senior,BI,"['business intelligence', 'job scheduling', 'oehs', 'business operations', 'campaign manager', 'network monitoring', 'business competence', 'tableau', 'financial performance improvement', 'power bi', 'excel', '* pair programming', 'data visualization']","business intelligence, job scheduling, oehs, business operations, campaign manager, network monitoring, business competence, tableau, financial performance improvement, power bi, excel, * pair programming, data visualization",Master's in Computer Science,169058,189088,"Chicago, IL, New York, NY, Boston, MA",False,False
CAND_000023,2,Entry Level,ML,"['nlp', 'deep learning', 'ability to work and communicate with a broad group of stakeholders', 'adobe illustrator', 'computer vision']","nlp, deep learning, ability to work and communicate with a broad group of stakeholders, adobe illustrator, computer vision",Bachelor's in Data Science,72683,96954,"Chicago, IL",False,False
CAND_000024,3,Mid Level,Backend,"['feedback processes', 'microservices', 'selfmotivated and creative thinking', 'talent', 'apis', 'prior military service or familiarity', 'functions triggers', 'cpt (current procedural terminology)', 'java', 'scala']","feedback processes, microservices, selfmotivated and creative thinking, talent, apis, prior military service or familiarity, functions triggers, cpt (current procedural terminology), java, scala",Bachelor's in Engineering,116609,142134,"Chicago, IL, San Francisco, CA",False,False
CAND_000025,11,Leadership,Data,"['data analysis', 'user experience optimization', 'web/mobile technology', 'protein generation', 'pandas', 'swl', 'sql', 'apics certification', 'metadata structure', 'numpy', 'relevant experience in supply chain logistics and transportation research', 'revenue', 'research agenda', 'scikit', 'demonstrated ability to lead a research team', 'channel strategy', 'python', 'statistics']","data analysis, user experience optimization, web/mobile technology, protein generation, pandas, swl, sql, apics certification, metadata structure, numpy, relevant experience in supply chain logistics and transportation research, revenue, research agenda, scikit, demonstrated ability to lead a research team, channel strategy, python, statistics",PhD in Machine Learning,223205,258611,"San Francisco, CA",False,False
CAND_000026,7,Senior,Backend,"['microservices', 'conceptual designing of e2e data flow / etl', 'federal financial management', 'apis', 'measurement plans', 'intellectual curiosity bigpicture thinking', 'agile / devops', 'marketscan data', 'customer experience (cx)', 'java', 'scala', 'activex']","microservices, conceptual designing of e2e data flow / etl, federal financial management, apis, measurement plans, intellectual curiosity bigpicture thinking, agile / devops, marketscan data, customer experience (cx), java, scala, activex",Master's in Computer Science,171472,206246,"Remote, San Francisco, CA",True,True
CAND_000027,1,Entry Level,BI,"['business intelligence', 'stochastic variational inference (svi)', 'security & compliance center', 'tableau', 'solidstate battery', 'power bi', 'knowledge of data processing computer programming for statistical analysis', 'excel', 'data visualization']","business intelligence, stochastic variational inference (svi), security & compliance center, tableau, solidstate battery, power bi, knowledge of data processing computer programming for statistical analysis, excel, data visualization",Bachelor's in Data Science,65595,87900,"New York, NY",False,False
CAND_000028,3,Mid Level,Backend,"['microservices', 'postdoctoral employment', 'preemployment drug screening', 'cascading style sheets (css)', 'apis', 'headcount', 'iso 109931', 'java', 'scala', 'paid leave']","microservices, postdoctoral employment, preemployment drug screening, cascading style sheets (css), apis, headcount, iso 109931, java, scala, paid leave",Bachelor's in Engineering,124971,148964,"Remote, San Francisco, CA, Chicago, IL",True,True
CAND_000029,8,Senior,DE,"['gcp', 'extended hours', 'aws', 'etl', 'cnd', 'hadoop', 'horovod', 'data engineering', 'highresolution mass spec machines', 'exploration technology directorate', 'applied business analytics', 'airflow', 'phd in a relevant field', 'spark']","gcp, extended hours, aws, etl, cnd, hadoop, horovod, data engineering, highresolution mass spec machines, exploration technology directorate, applied business analytics, airflow, phd in a relevant field, spark",Master's in Computer Science,145593,174556,"Seattle, WA, Austin, TX, New York, NY",False,False
CAND_000030,5,Mid Level,Backend,"['microservices', 'experimental science', 'environmental scans', 'apis', 'engineer or senior engineer experience', 'java', 'scala', 'organizational knowledge']","microservices, experimental science, environmental scans, apis, engineer or senior engineer experience, java, scala, organizational knowledge",Bachelor's in Engineering,108718,139562,"Boston, MA, Chicago, IL, Seattle, WA",False,True
